age,annual_income,loan_amount,credit_score,credit_history_years,debt_to_income_ratio,num_delinquencies,num_open_accounts,recent_credit_inquiries,savings_balance,employment_years,interest_rate,loan_tenure_months,employment_status,rent_or_own,loan_purpose,region,default
65,50560.0,26274.0,692.0,1.0,0.203,0,11,0,24742.0,9.0,11.73,22.0,Contract,Mortgage,Debt consolidation,West,0
31,40220.0,25509.0,680.0,2.0,0.06,1,6,3,7477.0,4.0,10.73,12.0,Salaried,Rent,Medical,West,0
45,61652.0,31251.0,693.0,15.0,0.388,0,3,3,48272.0,5.0,11.82,23.0,Salaried,Rent,Debt consolidation,East,0
37,74292.0,10000.0,697.0,1.0,0.125,0,3,0,28862.0,2.0,15.07,7.0,Salaried,Rent,Home improvement,Central,0
27,37546.0,14108.0,679.0,11.0,0.421,1,7,0,82274.0,8.0,16.5,31.0,Contract,Rent,Debt consolidation,West,0
26,52395.0,30984.0,756.0,6.0,0.287,0,1,1,64523.0,11.0,12.46,13.0,Self-employed,Own,Other,South,0
38,77437.0,21959.0,755.0,9.0,0.153,3,9,3,49936.0,1.0,18.59,4.0,Contract,Rent,Business,West,0
25,39374.0,115158.0,691.0,15.0,0.425,2,8,2,9807.0,11.0,12.46,9.0,Salaried,Rent,Other,South,1
24,24058.0,14744.0,643.0,9.0,0.24,1,13,3,15260.0,8.0,18.6,20.0,Salaried,Own,Education,Central,0
38,25716.0,44685.0,704.0,4.0,0.228,0,2,3,25509.0,2.0,10.67,52.0,Contract,Rent,Medical,East,0
30,47575.0,40316.0,653.0,14.0,0.174,5,13,1,50800.0,6.0,15.4,9.0,Salaried,Rent,Other,East,1
48,28995.0,24517.0,765.0,7.0,0.222,1,3,6,42010.0,3.0,11.77,8.0,Salaried,Rent,Home improvement,North,0
21,49452.0,28094.0,773.0,17.0,0.092,0,10,5,45211.0,3.0,13.46,21.0,Contract,Own,Home improvement,West,0
35,149600.0,17718.0,726.0,8.0,0.386,0,1,2,12650.0,14.0,12.41,47.0,Contract,Mortgage,Medical,West,0
43,28051.0,10000.0,622.0,9.0,0.181,0,6,0,58210.0,10.0,7.98,16.0,Salaried,Own,Other,Central,0
68,51255.0,28621.0,661.0,11.0,0.385,1,9,1,51074.0,5.0,14.25,4.0,Salaried,Own,Home improvement,East,0
52,193449.0,30373.0,675.0,7.0,0.639,1,1,0,92643.0,6.0,11.11,17.0,Contract,Rent,Other,North,0
64,74942.0,34174.0,640.0,14.0,0.441,4,9,3,50611.0,17.0,14.37,18.0,Salaried,Own,Debt consolidation,West,1
37,48911.0,23094.0,669.0,9.0,0.287,0,4,2,7711.0,4.0,7.38,26.0,Contract,Mortgage,Debt consolidation,South,0
43,54924.0,45606.0,699.0,7.0,0.386,3,1,0,6439.0,14.0,10.19,14.0,Salaried,Rent,Debt consolidation,North,0
41,75822.0,11505.0,715.0,11.0,0.187,0,7,1,14147.0,8.0,10.66,19.0,Self-employed,Mortgage,Debt consolidation,East,0
64,152158.0,66257.0,757.0,11.0,0.338,3,5,0,155670.0,5.0,12.66,4.0,Salaried,Rent,Medical,West,0
68,44713.0,10499.0,685.0,10.0,0.108,0,6,2,188873.0,8.0,10.04,26.0,Salaried,Own,Other,South,0
68,39471.0,20315.0,670.0,6.0,0.491,0,1,2,12998.0,7.0,5.0,12.0,Contract,Rent,Education,South,0
57,28048.0,36705.0,615.0,4.0,0.295,1,5,4,26086.0,9.0,11.32,30.0,Self-employed,Mortgage,Business,North,1
45,63367.0,14970.0,705.0,7.0,0.26,0,12,6,24189.0,14.0,10.14,8.0,Contract,Rent,Home improvement,South,0
47,27636.0,38629.0,661.0,9.0,0.104,0,3,3,23930.0,8.0,5.54,15.0,Salaried,Rent,Home improvement,Central,0
69,46394.0,17033.0,675.0,8.0,0.251,0,10,1,21247.0,4.0,12.33,45.0,Contract,Own,Home improvement,East,0
34,36324.0,24067.0,655.0,13.0,0.338,5,2,5,105846.0,7.0,13.61,20.0,Self-employed,Mortgage,Business,South,1
37,108095.0,19229.0,657.0,9.0,0.131,0,9,1,14739.0,8.0,12.22,14.0,Salaried,Own,Debt consolidation,North,0
64,45269.0,14291.0,726.0,9.0,0.11,1,11,2,19300.0,8.0,11.59,2.0,Salaried,Own,Education,Central,0
39,74482.0,119170.0,683.0,1.0,0.162,2,7,6,28485.0,4.0,12.33,16.0,Salaried,Mortgage,Medical,South,1
32,24779.0,11733.0,772.0,6.0,0.655,1,5,6,39024.0,4.0,13.4,3.0,Salaried,Mortgage,Home improvement,Central,0
48,64365.0,10000.0,625.0,13.0,0.106,0,13,2,12555.0,5.0,15.9,33.0,Salaried,Own,Other,North,0
36,30892.0,12055.0,755.0,10.0,0.207,0,11,0,14128.0,6.0,15.66,29.0,Salaried,Mortgage,Debt consolidation,South,0
64,47377.0,24306.0,659.0,8.0,0.256,0,3,1,32487.0,3.0,11.79,23.0,Salaried,Rent,Debt consolidation,West,0
65,202028.0,16603.0,683.0,14.0,0.061,3,12,2,34863.0,5.0,12.46,40.0,Salaried,Own,Business,South,0
35,99977.0,47284.0,713.0,5.0,0.258,2,5,2,76141.0,17.0,11.76,14.0,Salaried,Rent,Education,North,0
46,55791.0,46011.0,743.0,5.0,0.178,0,8,6,37449.0,17.0,13.92,13.0,Salaried,Mortgage,Other,East,0
69,347812.0,17348.0,745.0,5.0,0.279,0,13,6,218821.0,11.0,8.59,27.0,Salaried,Own,Home improvement,East,0
57,36194.0,10000.0,744.0,7.0,0.397,0,4,3,16522.0,8.0,11.14,11.0,Unemployed,Rent,Education,West,0
31,113649.0,10000.0,675.0,10.0,0.25,0,12,2,52697.0,3.0,10.39,9.0,Salaried,Mortgage,Medical,North,0
49,25772.0,21501.0,786.0,7.0,0.265,3,1,3,37460.0,11.0,8.59,17.0,Self-employed,Rent,Business,East,1
51,52357.0,10000.0,720.0,14.0,0.375,2,2,5,7713.0,2.0,8.86,8.0,Unemployed,Own,Other,East,1
53,28530.0,16717.0,524.0,3.0,0.217,0,1,0,28645.0,6.0,7.19,14.0,Salaried,Mortgage,Home improvement,North,0
22,68975.0,63958.0,690.0,5.0,0.57,0,5,0,35114.0,10.0,14.45,22.0,Salaried,Rent,Other,North,0
35,61746.0,28485.0,667.0,7.0,0.355,0,8,0,5266.0,11.0,16.8,8.0,Salaried,Rent,Debt consolidation,Central,0
62,50553.0,22794.0,671.0,13.0,0.152,0,12,2,59709.0,4.0,16.5,24.0,Salaried,Own,Education,West,0
32,109167.0,10091.0,723.0,4.0,0.295,4,7,2,70199.0,2.0,13.88,9.0,Salaried,Own,Other,Central,0
35,43831.0,25243.0,705.0,4.0,0.15,0,9,1,43981.0,5.0,11.88,14.0,Unemployed,Own,Medical,North,0
36,71666.0,18144.0,651.0,9.0,0.394,0,1,2,10373.0,3.0,9.45,9.0,Salaried,Own,Education,North,0
29,94024.0,26344.0,770.0,7.0,0.225,3,1,4,50604.0,8.0,11.75,9.0,Salaried,Own,Other,South,0
28,26482.0,37999.0,617.0,6.0,0.443,0,8,1,60607.0,9.0,11.41,50.0,Salaried,Rent,Business,Central,0
38,39671.0,43200.0,613.0,11.0,0.22,2,7,3,65559.0,4.0,6.97,9.0,Contract,Rent,Business,Central,1
63,61674.0,24262.0,628.0,5.0,0.178,0,9,3,51373.0,8.0,9.64,10.0,Self-employed,Own,Debt consolidation,Central,0
21,84676.0,32336.0,712.0,8.0,0.165,0,9,6,28102.0,4.0,12.11,2.0,Salaried,Rent,Other,South,0
34,130833.0,15003.0,708.0,2.0,0.383,0,13,3,60330.0,6.0,6.14,27.0,Self-employed,Rent,Other,North,0
23,53171.0,51505.0,643.0,4.0,0.301,0,1,2,17242.0,3.0,11.59,12.0,Salaried,Own,Debt consolidation,West,0
48,50309.0,11324.0,655.0,10.0,0.266,0,10,0,10418.0,2.0,5.07,27.0,Salaried,Own,Home improvement,Central,0
33,37052.0,18852.0,688.0,6.0,0.41,0,7,5,31048.0,7.0,8.07,11.0,Salaried,Rent,Education,West,0
59,71789.0,55685.0,629.0,5.0,0.305,0,12,1,14898.0,6.0,6.9,16.0,Salaried,Rent,Other,West,0
49,50847.0,15348.0,732.0,5.0,0.477,0,7,4,17623.0,7.0,7.42,6.0,Contract,Rent,Debt consolidation,West,0
59,51497.0,10000.0,774.0,6.0,0.27,3,1,3,4841.0,5.0,5.18,12.0,Contract,Mortgage,Debt consolidation,North,0
52,56861.0,16187.0,678.0,28.0,0.069,0,5,2,11598.0,5.0,13.66,41.0,Self-employed,Rent,Debt consolidation,North,0
42,81097.0,62555.0,707.0,7.0,0.45,0,10,1,29950.0,8.0,14.62,19.0,Salaried,Own,Business,Central,0
63,43912.0,10000.0,694.0,1.0,0.438,0,6,1,25321.0,4.0,5.25,8.0,Contract,Rent,Debt consolidation,West,0
44,39156.0,23785.0,763.0,8.0,0.203,0,13,2,60375.0,7.0,9.75,40.0,Salaried,Rent,Home improvement,Central,0
67,75921.0,13691.0,795.0,19.0,0.253,2,5,4,45242.0,2.0,14.43,19.0,Self-employed,Rent,Home improvement,West,0
69,11337.0,19424.0,668.0,7.0,0.101,0,10,1,11364.0,6.0,10.61,46.0,Salaried,Own,Other,West,0
49,42958.0,16960.0,690.0,8.0,0.217,0,11,1,40570.0,23.0,14.01,26.0,Contract,Rent,Other,North,0
54,31786.0,45268.0,735.0,12.0,0.131,0,7,0,12194.0,7.0,12.92,11.0,Contract,Own,Medical,East,0
33,116052.0,22934.0,707.0,4.0,0.297,0,5,1,5266.0,17.0,16.67,7.0,Contract,Mortgage,Debt consolidation,East,0
60,46980.0,47000.0,638.0,2.0,0.162,0,6,0,16494.0,2.0,15.8,31.0,Salaried,Rent,Medical,North,0
53,43985.0,57705.0,588.0,5.0,0.066,2,4,6,21219.0,9.0,11.09,22.0,Salaried,Rent,Medical,North,1
65,58294.0,22526.0,655.0,7.0,0.34,1,13,3,13085.0,4.0,15.86,43.0,Unemployed,Rent,Other,Central,1
34,43155.0,16821.0,706.0,6.0,0.324,0,10,3,121089.0,5.0,13.13,44.0,Salaried,Rent,Medical,East,0
59,47980.0,29228.0,666.0,7.0,0.225,1,1,2,55198.0,4.0,9.36,5.0,Salaried,Rent,Business,South,0
44,63159.0,33781.0,630.0,1.0,0.214,0,7,1,29039.0,6.0,11.3,22.0,Unemployed,Mortgage,Other,Central,0
30,47471.0,10000.0,656.0,2.0,0.059,0,8,5,25916.0,8.0,8.8,27.0,Contract,Own,Home improvement,Central,0
29,47284.0,26293.0,789.0,2.0,0.233,0,6,2,99718.0,2.0,16.32,23.0,Salaried,Mortgage,Business,Central,0
48,34352.0,18212.0,626.0,16.0,0.318,0,3,1,65541.0,2.0,10.96,2.0,Contract,Rent,Medical,East,0
36,31743.0,16070.0,671.0,8.0,0.378,0,3,0,46701.0,7.0,7.82,7.0,Unemployed,Rent,Education,East,0
25,61905.0,13119.0,659.0,14.0,0.181,1,11,3,97531.0,2.0,13.73,13.0,Salaried,Rent,Debt consolidation,West,0
41,70872.0,13776.0,795.0,7.0,0.185,0,13,3,8999.0,9.0,13.41,8.0,Salaried,Own,Debt consolidation,West,0
52,27297.0,56485.0,607.0,4.0,0.188,2,6,4,40397.0,10.0,17.23,22.0,Self-employed,Rent,Business,Central,1
36,90941.0,16764.0,645.0,5.0,0.088,0,9,2,127028.0,4.0,13.88,16.0,Salaried,Own,Other,Central,0
67,91147.0,51939.0,691.0,3.0,0.142,0,3,0,27004.0,8.0,9.41,30.0,Salaried,Rent,Other,North,0
59,102342.0,24301.0,697.0,5.0,0.304,1,4,1,39438.0,1.0,13.63,21.0,Salaried,Mortgage,Medical,South,0
46,70611.0,10000.0,750.0,6.0,0.14,0,9,2,20172.0,6.0,11.59,15.0,Contract,Own,Debt consolidation,North,0
66,84999.0,25415.0,744.0,1.0,0.145,0,1,2,65788.0,8.0,9.51,20.0,Self-employed,Own,Home improvement,Central,0
42,199140.0,10000.0,649.0,4.0,0.075,0,9,1,9758.0,14.0,13.72,15.0,Salaried,Own,Home improvement,West,0
27,50724.0,34730.0,705.0,3.0,0.176,0,11,1,43945.0,5.0,12.87,12.0,Self-employed,Mortgage,Medical,Central,0
22,33687.0,18848.0,678.0,6.0,0.451,0,9,2,19783.0,11.0,11.29,11.0,Unemployed,Mortgage,Other,North,0
66,25752.0,41831.0,663.0,3.0,0.501,0,13,4,40302.0,7.0,10.6,22.0,Salaried,Mortgage,Debt consolidation,West,0
68,157254.0,64548.0,744.0,5.0,0.142,2,11,3,45891.0,2.0,5.86,29.0,Contract,Rent,Other,North,0
57,158393.0,10000.0,702.0,2.0,0.124,0,9,4,61093.0,2.0,17.39,13.0,Self-employed,Rent,Debt consolidation,Central,0
26,36007.0,15586.0,776.0,24.0,0.127,2,12,2,48085.0,1.0,11.59,32.0,Self-employed,Rent,Debt consolidation,South,0
35,40134.0,10000.0,714.0,15.0,0.31,0,2,4,9675.0,5.0,11.51,25.0,Contract,Rent,Education,North,0
23,50101.0,111157.0,739.0,5.0,0.121,0,11,1,22163.0,14.0,11.04,19.0,Salaried,Own,Education,Central,0
23,117400.0,15832.0,539.0,11.0,0.16,0,1,5,85425.0,4.0,9.86,22.0,Salaried,Rent,Education,South,1
33,29495.0,10000.0,693.0,7.0,0.233,2,1,4,77044.0,11.0,15.55,14.0,Salaried,Rent,Business,East,0
49,20300.0,118214.0,712.0,3.0,0.239,0,4,6,79842.0,2.0,7.63,48.0,Salaried,Rent,Other,West,1
24,197231.0,12778.0,717.0,3.0,0.121,0,13,5,23367.0,8.0,11.43,25.0,Salaried,Own,Medical,West,0
69,71097.0,10000.0,773.0,14.0,0.305,0,12,2,54366.0,4.0,13.68,28.0,Salaried,Rent,Other,West,0
43,76874.0,10000.0,722.0,8.0,0.121,0,1,4,5196.0,7.0,15.6,10.0,Salaried,Rent,Debt consolidation,Central,0
33,53487.0,24524.0,621.0,3.0,0.071,0,4,0,76177.0,3.0,12.68,14.0,Contract,Rent,Education,South,0
46,77357.0,22795.0,718.0,9.0,0.214,0,6,3,66373.0,16.0,10.3,23.0,Contract,Rent,Debt consolidation,West,0
59,26035.0,11766.0,734.0,2.0,0.491,0,5,4,47580.0,10.0,13.9,12.0,Contract,Mortgage,Debt consolidation,Central,0
36,37703.0,15309.0,655.0,7.0,0.287,2,1,2,24285.0,5.0,11.83,18.0,Salaried,Own,Debt consolidation,East,0
23,63439.0,22921.0,666.0,9.0,0.225,0,13,1,44158.0,4.0,9.79,21.0,Contract,Rent,Home improvement,South,0
23,17172.0,59453.0,732.0,6.0,0.389,0,8,0,50047.0,5.0,13.01,37.0,Contract,Own,Medical,West,0
62,50697.0,28281.0,688.0,10.0,0.083,1,4,2,20756.0,8.0,13.33,32.0,Salaried,Own,Medical,South,0
26,49007.0,14438.0,749.0,8.0,0.177,0,4,6,9894.0,5.0,9.74,1.0,Salaried,Mortgage,Medical,South,0
52,50692.0,18558.0,699.0,17.0,0.054,4,2,0,30388.0,19.0,8.1,14.0,Contract,Rent,Debt consolidation,East,0
39,44219.0,39233.0,568.0,4.0,0.421,2,2,4,37685.0,13.0,8.75,18.0,Salaried,Rent,Home improvement,South,1
59,34623.0,77656.0,692.0,14.0,0.114,0,9,2,196569.0,14.0,8.64,6.0,Contract,Mortgage,Debt consolidation,West,0
23,21980.0,10000.0,667.0,4.0,0.228,1,5,2,58388.0,9.0,5.83,11.0,Unemployed,Mortgage,Business,Central,0
64,64836.0,50796.0,722.0,19.0,0.307,0,10,5,37857.0,11.0,8.01,12.0,Salaried,Mortgage,Business,West,0
55,50763.0,17421.0,712.0,5.0,0.349,2,10,4,17176.0,12.0,14.9,5.0,Salaried,Rent,Education,East,1
43,28102.0,10000.0,637.0,3.0,0.306,0,7,4,20244.0,7.0,9.64,13.0,Self-employed,Rent,Other,South,0
31,61969.0,10000.0,699.0,4.0,0.298,1,10,1,6856.0,3.0,11.48,6.0,Self-employed,Rent,Debt consolidation,North,0
68,50908.0,59912.0,718.0,6.0,0.31,0,10,2,51379.0,3.0,11.7,16.0,Salaried,Rent,Education,East,0
35,46464.0,65514.0,713.0,3.0,0.479,2,6,4,15561.0,3.0,9.67,37.0,Salaried,Mortgage,Debt consolidation,East,1
45,18283.0,14374.0,742.0,5.0,0.182,0,5,3,19443.0,3.0,13.41,29.0,Unemployed,Rent,Debt consolidation,Central,0
40,87162.0,18786.0,632.0,3.0,0.073,1,12,3,24005.0,3.0,12.41,16.0,Salaried,Rent,Debt consolidation,West,0
32,30389.0,10000.0,680.0,8.0,0.136,0,9,3,12980.0,9.0,9.91,15.0,Salaried,Own,Debt consolidation,West,0
41,61994.0,39008.0,566.0,6.0,0.43,0,7,1,27311.0,8.0,15.48,31.0,Unemployed,Mortgage,Other,West,1
28,38386.0,21563.0,753.0,5.0,0.241,1,8,3,14610.0,4.0,11.07,32.0,Salaried,Rent,Home improvement,Central,0
21,48349.0,10000.0,695.0,7.0,0.209,3,1,1,30540.0,5.0,8.35,11.0,Self-employed,Mortgage,Business,Central,0
35,112844.0,25682.0,684.0,2.0,0.237,0,9,4,23782.0,3.0,17.61,14.0,Contract,Mortgage,Other,West,0
26,80209.0,10000.0,683.0,7.0,0.102,0,13,0,12514.0,9.0,14.4,9.0,Salaried,Own,Other,North,0
41,111471.0,33461.0,716.0,19.0,0.124,0,6,0,23366.0,3.0,10.52,29.0,Salaried,Rent,Medical,South,0
63,71805.0,10000.0,747.0,13.0,0.14,0,8,1,7530.0,3.0,15.81,23.0,Salaried,Own,Medical,Central,0
28,74450.0,28362.0,674.0,3.0,0.233,0,2,1,10457.0,10.0,8.56,14.0,Salaried,Mortgage,Medical,North,0
21,22480.0,13497.0,713.0,2.0,0.21,1,6,0,35338.0,10.0,5.0,21.0,Self-employed,Rent,Home improvement,North,0
26,50280.0,10000.0,712.0,18.0,0.16,0,6,5,10251.0,9.0,6.32,11.0,Contract,Own,Debt consolidation,South,0
45,52907.0,46496.0,569.0,11.0,0.087,0,10,2,11328.0,20.0,12.17,19.0,Salaried,Rent,Medical,North,1
34,117362.0,48446.0,651.0,6.0,0.08,0,3,4,26539.0,12.0,10.46,7.0,Salaried,Own,Education,East,0
44,45323.0,14893.0,714.0,5.0,0.148,0,1,4,42853.0,14.0,12.16,11.0,Contract,Rent,Business,East,0
22,69263.0,27060.0,758.0,17.0,0.092,0,10,0,78555.0,15.0,13.04,10.0,Salaried,Mortgage,Business,South,0
37,67790.0,30596.0,765.0,18.0,0.247,0,3,1,32362.0,1.0,13.61,9.0,Unemployed,Own,Medical,North,0
41,113178.0,31347.0,623.0,9.0,0.348,0,8,5,116136.0,11.0,11.45,25.0,Salaried,Own,Debt consolidation,West,1
42,55628.0,80354.0,745.0,4.0,0.169,2,9,5,29028.0,13.0,6.87,3.0,Self-employed,Rent,Debt consolidation,South,1
48,94399.0,30110.0,747.0,7.0,0.272,0,11,3,9995.0,5.0,11.32,28.0,Contract,Rent,Business,West,0
59,23443.0,16844.0,713.0,9.0,0.243,0,6,5,13183.0,7.0,11.3,6.0,Salaried,Own,Home improvement,East,0
43,24644.0,30362.0,579.0,8.0,0.244,0,9,1,24595.0,13.0,13.02,18.0,Contract,Own,Other,East,0
62,17054.0,15955.0,660.0,11.0,0.35,0,12,0,34142.0,3.0,15.89,19.0,Salaried,Rent,Medical,Central,0
46,92253.0,10000.0,696.0,4.0,0.253,5,9,0,69110.0,8.0,10.71,37.0,Unemployed,Rent,Home improvement,North,1
33,86727.0,54984.0,677.0,4.0,0.07,1,8,1,110313.0,1.0,9.84,4.0,Self-employed,Rent,Home improvement,South,0
32,98052.0,32880.0,571.0,5.0,0.271,0,12,4,305110.0,17.0,17.07,46.0,Salaried,Rent,Home improvement,North,0
36,41252.0,10000.0,676.0,3.0,0.404,0,3,4,8926.0,6.0,16.39,14.0,Salaried,Rent,Home improvement,West,0
50,43917.0,13190.0,639.0,12.0,0.085,0,1,4,14451.0,3.0,14.11,11.0,Self-employed,Mortgage,Other,South,0
32,56018.0,38880.0,722.0,6.0,0.186,0,2,2,104070.0,5.0,14.47,7.0,Salaried,Rent,Education,West,0
65,132460.0,10000.0,716.0,4.0,0.228,0,9,1,30158.0,8.0,6.31,15.0,Salaried,Rent,Business,East,0
44,151995.0,12523.0,719.0,17.0,0.16,0,2,1,5663.0,5.0,11.51,13.0,Contract,Rent,Debt consolidation,Central,0
63,92651.0,162127.0,670.0,13.0,0.319,0,12,2,38644.0,12.0,7.19,26.0,Salaried,Rent,Other,East,0
54,71830.0,17183.0,691.0,6.0,0.254,0,13,3,13846.0,2.0,10.61,27.0,Contract,Rent,Education,East,0
37,124799.0,49614.0,685.0,14.0,0.397,0,4,2,39897.0,14.0,13.23,24.0,Salaried,Own,Business,North,0
32,52015.0,67870.0,740.0,13.0,0.348,0,6,1,28977.0,3.0,11.22,17.0,Salaried,Rent,Business,North,0
57,48290.0,11144.0,661.0,11.0,0.496,0,7,3,19084.0,4.0,14.34,19.0,Salaried,Own,Other,South,0
37,55773.0,26897.0,648.0,11.0,0.178,0,1,0,16935.0,7.0,11.74,9.0,Salaried,Mortgage,Debt consolidation,West,0
33,34951.0,103168.0,743.0,14.0,0.209,1,10,3,33533.0,11.0,10.54,25.0,Contract,Rent,Education,East,0
66,54380.0,31090.0,735.0,6.0,0.23,0,5,4,33167.0,9.0,12.97,15.0,Salaried,Own,Education,South,0
44,32384.0,129850.0,716.0,14.0,0.352,4,10,0,22939.0,6.0,14.46,26.0,Contract,Mortgage,Medical,East,1
23,105214.0,13661.0,777.0,5.0,0.347,5,4,5,18560.0,8.0,8.97,23.0,Salaried,Own,Business,East,1
45,80743.0,84781.0,805.0,3.0,0.256,0,8,2,40866.0,3.0,17.97,12.0,Salaried,Rent,Debt consolidation,North,0
43,131434.0,22304.0,758.0,3.0,0.196,0,12,1,7641.0,5.0,5.63,12.0,Salaried,Rent,Debt consolidation,North,0
63,24438.0,17230.0,649.0,10.0,0.082,0,8,6,25430.0,10.0,7.65,22.0,Salaried,Own,Business,West,0
55,170405.0,35597.0,736.0,4.0,0.157,0,8,6,23889.0,9.0,11.8,12.0,Salaried,Own,Debt consolidation,Central,0
30,25214.0,20260.0,696.0,18.0,0.18,2,5,3,21808.0,7.0,10.73,12.0,Contract,Mortgage,Home improvement,Central,1
28,30975.0,20673.0,659.0,1.0,0.286,0,7,1,7491.0,7.0,15.18,5.0,Contract,Own,Other,Central,0
50,42555.0,31694.0,649.0,9.0,0.28,0,12,0,82614.0,7.0,10.42,7.0,Unemployed,Mortgage,Other,South,0
23,122915.0,10000.0,705.0,22.0,0.356,3,12,1,20176.0,8.0,13.24,24.0,Salaried,Rent,Medical,Central,0
36,67783.0,12101.0,735.0,8.0,0.233,0,12,1,14525.0,6.0,11.77,7.0,Self-employed,Own,Business,West,0
27,52360.0,37873.0,766.0,10.0,0.287,1,1,0,135715.0,2.0,8.84,18.0,Salaried,Rent,Education,West,0
22,38718.0,46335.0,727.0,5.0,0.429,0,10,4,35961.0,4.0,13.81,17.0,Unemployed,Mortgage,Education,East,0
66,28092.0,28794.0,722.0,4.0,0.402,0,2,4,48084.0,31.0,9.96,20.0,Contract,Own,Debt consolidation,West,0
25,111630.0,27090.0,679.0,10.0,0.464,0,6,4,14546.0,10.0,9.61,38.0,Salaried,Rent,Education,West,0
21,92897.0,29785.0,702.0,4.0,0.28,5,2,0,72939.0,5.0,8.71,5.0,Salaried,Mortgage,Medical,Central,0
66,125976.0,45177.0,608.0,6.0,0.409,2,2,1,41204.0,6.0,13.01,22.0,Salaried,Own,Debt consolidation,East,0
30,74477.0,10000.0,721.0,5.0,0.165,5,7,1,32918.0,3.0,8.87,9.0,Self-employed,Own,Home improvement,South,1
61,14000.0,15031.0,714.0,10.0,0.446,0,3,0,45425.0,2.0,7.36,9.0,Self-employed,Own,Other,West,0
22,30196.0,20831.0,795.0,14.0,0.278,3,11,0,54138.0,10.0,16.48,13.0,Salaried,Rent,Education,North,0
28,77318.0,25510.0,688.0,2.0,0.192,0,10,5,31821.0,5.0,8.44,11.0,Salaried,Own,Medical,Central,0
26,48857.0,10000.0,756.0,3.0,0.349,0,2,1,136931.0,7.0,10.66,10.0,Self-employed,Own,Medical,Central,0
55,44030.0,10000.0,664.0,14.0,0.462,0,5,4,80923.0,9.0,7.23,6.0,Salaried,Rent,Business,East,0
51,32638.0,21753.0,783.0,7.0,0.343,1,6,2,13900.0,13.0,14.33,2.0,Salaried,Rent,Debt consolidation,West,0
44,100828.0,47092.0,770.0,8.0,0.562,0,2,2,52374.0,4.0,13.31,64.0,Salaried,Rent,Home improvement,West,0
32,76950.0,16086.0,752.0,5.0,0.088,0,11,6,28430.0,9.0,6.72,9.0,Self-employed,Mortgage,Business,West,0
25,78878.0,13357.0,693.0,9.0,0.404,0,12,3,28538.0,2.0,5.0,23.0,Contract,Own,Debt consolidation,Central,0
48,42257.0,32745.0,678.0,10.0,0.604,0,7,3,31301.0,9.0,10.94,63.0,Contract,Mortgage,Other,East,0
32,65970.0,17222.0,670.0,14.0,0.358,0,7,5,5471.0,10.0,12.57,6.0,Salaried,Mortgage,Other,East,0
49,28688.0,42645.0,636.0,4.0,0.071,1,4,2,29355.0,7.0,11.71,33.0,Salaried,Own,Other,North,1
54,55748.0,18658.0,716.0,3.0,0.081,0,10,1,6816.0,6.0,12.31,12.0,Salaried,Mortgage,Business,West,0
62,14908.0,10000.0,676.0,7.0,0.61,3,9,1,89011.0,5.0,9.28,32.0,Contract,Own,Medical,South,1
45,25274.0,63924.0,711.0,8.0,0.43,0,10,5,42820.0,4.0,6.96,6.0,Contract,Rent,Other,North,0
21,50148.0,55712.0,699.0,20.0,0.257,0,10,1,104983.0,5.0,6.2,18.0,Contract,Own,Business,Central,0
34,221088.0,10758.0,631.0,17.0,0.46,0,11,3,41720.0,5.0,8.76,49.0,Salaried,Rent,Education,North,0
62,22239.0,29637.0,748.0,7.0,0.095,0,4,0,97328.0,11.0,15.46,6.0,Self-employed,Own,Other,Central,0
47,30213.0,17240.0,695.0,13.0,0.402,0,13,1,22230.0,10.0,7.78,21.0,Salaried,Rent,Debt consolidation,Central,0
51,67456.0,35042.0,737.0,5.0,0.503,0,12,5,28394.0,6.0,10.03,9.0,Contract,Own,Other,Central,0
43,158448.0,11421.0,626.0,3.0,0.275,0,5,3,58966.0,2.0,13.38,25.0,Self-employed,Rent,Education,South,0
28,66916.0,42357.0,648.0,7.0,0.301,1,7,2,58295.0,5.0,17.41,15.0,Salaried,Mortgage,Business,North,0
64,88096.0,53972.0,668.0,5.0,0.228,3,11,2,38834.0,8.0,13.44,16.0,Salaried,Rent,Other,Central,0
58,49728.0,10824.0,703.0,5.0,0.099,0,5,2,20944.0,4.0,10.08,30.0,Self-employed,Own,Debt consolidation,South,0
69,45214.0,23174.0,684.0,6.0,0.402,0,12,1,9580.0,1.0,10.01,8.0,Contract,Own,Medical,Central,0
62,62643.0,54829.0,765.0,9.0,0.218,3,12,4,20669.0,5.0,11.3,19.0,Self-employed,Rent,Education,Central,1
35,41687.0,10394.0,747.0,6.0,0.532,1,4,2,31474.0,10.0,11.01,18.0,Salaried,Own,Education,South,0
33,89174.0,13338.0,650.0,9.0,0.048,1,1,2,19188.0,4.0,13.0,33.0,Contract,Mortgage,Home improvement,North,0
33,24749.0,36182.0,850.0,16.0,0.164,0,8,4,19177.0,4.0,14.0,12.0,Contract,Rent,Business,East,0
66,97684.0,19526.0,685.0,8.0,0.285,0,6,1,8029.0,8.0,13.26,11.0,Contract,Mortgage,Education,West,0
48,61183.0,10000.0,761.0,6.0,0.388,0,5,3,20263.0,3.0,13.81,24.0,Salaried,Own,Education,Central,0
43,53205.0,17324.0,674.0,6.0,0.19,0,13,2,36610.0,1.0,8.26,21.0,Contract,Rent,Debt consolidation,Central,0
